fecha_hora,ax,ay,az,gx,gy,gz
233,-0.0625,-0.08984375,-1.04150390625,-69.9765625,-16.5086669921875,-11.8823404312134
255,-0.00732421875,-0.1708984375,-0.98046875,-60.0834312438965,-9.13462066650391,-11.3785238265991
277,-0.01806640625,-0.21484375,-0.978515625,-45.9612922668457,-0.890346169471741,-13.1189823150635
298,-0.10693359375,-0.27197265625,-1.02734375,-34.7093849182129,0.62110424041748,-8.99684429168701
321,-0.1669921875,-0.2509765625,-1.017578125,-25.5032768249512,1.23179125785828,13.598575592041
342,-0.16162109375,-0.2919921875,-0.96923828125,-17.3353366851807,-1.34836137294769,29.7359790802002
369,-0.087890625,-0.27294921875,-0.8505859375,-2.44984197616577,-2.17278909683228,31.6749114990234
390,-0.021484375,-0.2587890625,-0.798828125,10.8784027099609,-0.890346169471741,23.1558265686035
413,0.03759765625,-0.24462890625,-0.806640625,25.7791652679443,3.4913330078125,14.407735824585
434,0.064453125,-0.20947265625,-0.7490234375,38.9547386169434,10.3004932403564,8.31613254547119
459,0.056640625,-0.1865234375,-0.74462890625,54.2982482910156,18.3157596588135,5.07949113845825
481,0.0146484375,-0.1865234375,-0.70361328125,68.1455764770508,23.7203407287598,4.9420862197876
500,-0.04150390625,-0.11474609375,-0.6865234375,79.8402328491211,26.208890914917,8.71307945251465
520,-0.0380859375,-0.01904296875,-0.7021484375,89.1074066162109,28.6516380310059,20.9878883361816
541,0.0126953125,0.05078125,-0.6044921875,94.9394683837891,33.5676727294922,41.1558265686035
563,-0.01171875,0.33251953125,-0.59912109375,101.092140197754,37.4455337524414,8.91155242919922
584,1.57763671875,2.9326171875,-0.9501953125,71.1990127563477,60.5600357055664,22.9878883361816
605,-0.39208984375,-0.68017578125,-6.6025390625,-83.2742691040039,-45.8063735961914,-84.8594436645508
626,-0.443359375,-3.26513671875,0.2158203125,-102.953659057617,-40.3101921081543,-209.760192871094
647,-0.80810546875,1.50537109375,-0.3466796875,-66.6635894775391,55.918815612793,262.392486572266
671,0.4267578125,0.54052734375,-1.2470703125,-55.0605278015137,17.399730682373,-1.31745553016663
692,0.15087890625,0.3779296875,-1.13623046875,-23.0605278015137,28.8348445892334,-16.1571502685547
715,-0.15478515625,-0.03515625,-0.99072265625,-21.1673984527588,15.079119682312,-19.1953182220459
