fecha_hora,predict,p0,p1
1080,0,0.990559492,0.009440508
1102,0,0.990559492,0.009440508
1127,0,0.990559492,0.009440508
1148,0,0.990559492,0.009440508
1171,0,0.989841981,0.010158019
1192,0,0.989301037,0.010698963
1243,0,0.98354784,0.01645216
1266,0,0.973438788,0.026561212
1288,0,0.989293175,0.010706825
1308,0,0.977565372,0.022434628
1330,0,0.972826113,0.027173887
1351,0,0.994287649,0.005712351
1401,0,0.995067401,0.004932599
1423,0,0.968597708,0.031402292
1444,0,0.917599906,0.082400094
1467,0,0.968597708,0.031402292
1490,0,0.980337206,0.019662794
1513,0,0.996569349,0.003430651
1535,0,0.995448747,0.004551253
1558,0,0.99514173,0.00485827
1581,0,0.994843682,0.005156318
1604,0,0.994843682,0.005156318
1627,0,0.994843682,0.005156318
1649,0,0.994843682,0.005156318
1672,0,0.997009196,0.002990804
1695,0,0.997435545,0.002564455
1719,0,0.99821519,0.00178481
1742,0,0.998392611,0.001607389
1796,0,0.998392611,0.001607389
1861,0,0.998682629,0.001317371
1896,0,0.998463292,0.001536708
1920,0,0.998293658,0.001706342
1943,0,0.998293658,0.001706342
1967,0,0.998244552,0.001755448
1993,0,0.998244552,0.001755448
2019,0,0.998244552,0.001755448
2044,0,0.998244552,0.001755448
2070,0,0.998814024,0.001185976
3245,0,0.998520709,0.001479291
3283,0,0.998520709,0.001479291
3318,0,0.998155196,0.001844804
3341,0,0.998155196,0.001844804
3365,0,0.998155196,0.001844804
3386,0,0.998155196,0.001844804
3409,0,0.998155196,0.001844804
3433,0,0.998155196,0.001844804
3456,0,0.998155196,0.001844804
3476,0,0.998155196,0.001844804
3496,0,0.998814024,0.001185976
3521,0,0.998814024,0.001185976
3546,0,0.998847219,0.001152781
3569,0,0.998847219,0.001152781
3590,0,0.998847219,0.001152781
3614,0,0.998847219,0.001152781
3639,0,0.998847219,0.001152781
3661,0,0.998847219,0.001152781
3682,0,0.998814024,0.001185976
3704,0,0.998814024,0.001185976
3726,0,0.998814024,0.001185976
3750,0,0.998814024,0.001185976
3772,0,0.998524042,0.001475958
3794,0,0.998520709,0.001479291
3816,0,0.998520709,0.001479291
3839,0,0.998520709,0.001479291
3862,0,0.998520709,0.001479291
3883,0,0.998520709,0.001479291
3905,0,0.998520709,0.001479291
3928,0,0.998520709,0.001479291
3951,0,0.998155196,0.001844804
3974,0,0.998155196,0.001844804
3995,0,0.998155196,0.001844804
4019,0,0.998155196,0.001844804
4042,0,0.998155196,0.001844804
4066,0,0.998155196,0.001844804
4087,0,0.998155196,0.001844804
4108,0,0.998155196,0.001844804
4133,0,0.998155196,0.001844804
4162,0,0.998155196,0.001844804
4186,0,0.998155196,0.001844804
4215,0,0.998155196,0.001844804
4239,0,0.998155196,0.001844804
4394,0,0.998155196,0.001844804
4416,0,0.998155196,0.001844804
4440,0,0.998155196,0.001844804
4463,0,0.998155196,0.001844804
4485,0,0.998155196,0.001844804
4506,0,0.998155196,0.001844804
4527,0,0.998155196,0.001844804
4549,0,0.998071153,0.001928847
4570,0,0.998071153,0.001928847
4590,0,0.998071153,0.001928847
4610,0,0.998071153,0.001928847
4630,0,0.998071153,0.001928847
4652,0,0.998071153,0.001928847
4674,0,0.998071153,0.001928847
4695,0,0.998071153,0.001928847
4718,0,0.998071153,0.001928847
4739,0,0.998071153,0.001928847
4760,0,0.998071153,0.001928847
4782,0,0.998071153,0.001928847
4804,0,0.998071153,0.001928847
4825,0,0.998071153,0.001928847
4846,0,0.998071153,0.001928847
4867,0,0.998071153,0.001928847
4887,0,0.998071153,0.001928847
4910,0,0.998071153,0.001928847
4931,0,0.998071153,0.001928847
4953,0,0.998071153,0.001928847
4975,0,0.998071153,0.001928847
4995,0,0.998071153,0.001928847
5015,0,0.998071153,0.001928847
5035,0,0.998071153,0.001928847
5056,0,0.998071153,0.001928847
5079,0,0.998071153,0.001928847
5101,0,0.998071153,0.001928847
5122,0,0.998071153,0.001928847
5144,0,0.998071153,0.001928847
5165,0,0.998071153,0.001928847
5186,0,0.998071153,0.001928847
5208,0,0.998071153,0.001928847
5229,0,0.998071153,0.001928847
5250,0,0.998071153,0.001928847
5272,0,0.998071153,0.001928847
5293,0,0.998071153,0.001928847
5314,0,0.998071153,0.001928847
5341,0,0.998071153,0.001928847
5367,0,0.998071153,0.001928847
5394,0,0.998071153,0.001928847
5505,0,0.998071153,0.001928847
5526,0,0.998071153,0.001928847
5547,0,0.998071153,0.001928847
5569,0,0.998071153,0.001928847
5589,0,0.998071153,0.001928847
5609,0,0.998071153,0.001928847
5629,0,0.998071153,0.001928847
5649,0,0.998071153,0.001928847
5671,0,0.998044078,0.001955922
5692,0,0.998044078,0.001955922
5713,0,0.998044078,0.001955922
5735,0,0.998044078,0.001955922
5756,0,0.998044078,0.001955922
5778,0,0.998044078,0.001955922
5799,0,0.998044078,0.001955922
5819,0,0.998044078,0.001955922
5839,0,0.998044078,0.001955922
5859,0,0.998044078,0.001955922
5881,0,0.998044078,0.001955922
5903,0,0.998044078,0.001955922
5925,0,0.998044078,0.001955922
5947,0,0.998044078,0.001955922
5970,0,0.998044078,0.001955922
5991,0,0.998044078,0.001955922
6012,0,0.998044078,0.001955922
6032,0,0.998044078,0.001955922
6058,0,0.998044078,0.001955922
6080,0,0.998044078,0.001955922
6102,0,0.998044078,0.001955922
6122,0,0.998044078,0.001955922
6141,0,0.998044078,0.001955922
6162,0,0.998044078,0.001955922
6184,0,0.998044078,0.001955922
6205,0,0.998044078,0.001955922
6227,0,0.998044078,0.001955922
6250,0,0.998044078,0.001955922
6271,0,0.998014263,0.001985737
6294,0,0.997245626,0.002754374
6317,0,0.997245626,0.002754374
6339,0,0.997245626,0.002754374
6359,0,0.997245626,0.002754374
