fecha_hora,predict
233,0
255,0
276,0
299,0
319,0
339,0
361,0
382,0
406,0
427,0
450,0
472,0
496,0
516,0
536,0
558,0
581,0
604,0
626,0
647,0
668,0
690,0
711,0
732,0
754,0
775,0
797,0
818,0
838,0
860,4
882,4
908,4
928,4
953,4
975,4
996,0
1072,0
1095,0
1119,0
1141,0
1164,0
1185,0
1206,0
1229,0
1251,0
1272,0
1293,0
1315,0
1338,0
1358,0
1378,0
1400,0
1424,0
1447,0
1471,0
1494,0
1521,0
1543,0
1566,0
1593,0
1614,0
1634,0
1654,0
1675,0
1697,0
1722,0
1743,0
1764,0
1785,0
1810,0
1835,0
1856,0
1880,0
1901,0
1925,4
1947,4
1968,4
1991,4
2014,4
2041,4
2063,4
2208,0
2233,0
2256,0
2277,0
2300,0
2321,0
2347,0
2368,0
2390,0
2412,0
2431,0
2451,0
2471,0
2493,0
2514,0
2536,0
2560,0
2582,0
2605,0
2628,0
2653,0
2675,0
2698,0
2721,0
2746,0
2767,0
2789,0
2810,4
2833,4
2857,4
2877,4
2897,4
2917,4
2939,4
2959,4
2979,0
3000,0
3020,0
3043,0
3067,0
3088,0
3110,0
3131,0
3154,0
3175,0
3196,0
3312,0
3335,0
3358,0
3378,0
3398,0
3419,0
3443,0
3467,0
3489,0
3519,0
3540,0
3563,0
3585,0
3606,0
3628,0
3653,0
3676,0
3697,0
3724,0
3746,4
3776,4
3796,4
3816,4
3837,4
3859,4
3883,4
3905,4
3926,4
3947,0
3972,0
3994,0
4015,0
4038,0
4061,0
4087,0
4108,0
4131,0
4154,0
4177,0
4199,0
4220,0
4243,0
4266,0
4290,0
4378,0
4401,0
4420,0
4442,0
4462,0
4489,0
4511,0
4532,0
4555,0
4577,0
4600,0
4621,0
4642,0
4665,0
4690,0
4710,0
4729,0
4750,4
4771,4
4793,4
4814,4
4835,4
4857,4
4876,4
4901,0
4922,0
4945,0
4967,0
4990,0
5011,0
5033,0
5057,0
5078,0
5099,0
5122,0
5142,0
5164,0
5185,0
5206,0
5227,0
5251,0
5271,0
5292,0
5313,0
5335,0
5358,0
5491,0
5514,0
5535,0
5558,0
5580,0
5602,0
5626,0
5646,0
5666,0
5686,0
5708,4
5733,4
5755,4
5776,4
5797,4
5820,4
5840,4
5860,4
5880,0
5900,0
5923,0
5944,0
5968,0
5992,0
6013,0
6036,0
6058,0
6081,0
6105,0
6128,0
6151,0
6174,0
6196,0
6220,0
6245,0
6267,0
6289,0
6310,0
6337,0
6360,0
6382,0
6407,0
6429,0
6450,0
6471,0
6607,0
6630,0
6653,0
6673,0
6694,0
6715,0
6742,4
6762,4
6782,4
6802,4
6834,4
6882,4
6904,4
6926,0
6952,0
6974,0
6997,0
7018,0
7042,0
7069,0
7091,0
7114,0
7137,0
7160,0
7181,0
7201,0
7221,0
7242,0
7264,0
7285,0
7306,0
7328,0
7353,0
7374,0
7394,0
7416,0
7437,0
7467,0
7489,0
7512,0
7533,0
7555,0
7576,0
7598,0
7710,0
7731,0
7754,0
7776,4
7797,4
7822,4
7845,0
7871,0
7892,0
7913,0
7934,0
7959,0
7984,0
8006,0
8029,0
8050,0
8074,0
8094,0
8114,0
8136,0
8159,0
8186,0
8207,0
8229,0
8250,0
8279,0
8301,0
