fecha_hora,roll,pitch,yaw,ax,ay,az,gx,gy,gz
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,2.0479551238256564e-05,-2.600398921224851e-06,4.675000941355682e-06,-0.00014549338189946858,0.0003066169099687086,-0.0002524102328267352,0.011653849714852532,-0.006193718219863011,-0.006281974895037645
255,0.000235622086882495,-2.4746872320104937e-05,5.399834698635275e-05,-0.0014394708569487778,0.002993917546514137,-0.0026716878258279783,0.12294800615995939,-0.07039754490763861,-0.05389364474172575
276,0.0013310731197488537,-0.00011084579913041925,0.00029298584398815134,-0.006743552202308379,0.014084898610948221,-0.013766667842844164,0.6250960039387925,-0.3888105040842868,-0.21084614246558245
299,0.004968882548590692,-0.0003246331317471811,0.0009984967707291506,-0.020020829911847962,0.04328750217119085,-0.04656313099331095,2.052146806220804,-1.4026592165140286,-0.5213138995847859
319,0.013911832396574604,-0.0007711557783276416,0.0024109689037280827,-0.04261999044748567,0.09974367234999874,-0.11768870115306324,4.907340034301043,-3.7520067644571857,-1.0498586792178806
339,0.031398552756449566,-0.0018047287743358073,0.004406052411195667,-0.0700208853579581,0.187229880427616,-0.23979984596011303,9.100271172447544,-8.011919245236644,-2.278998211337113
361,0.059861256231610815,-0.004432988582886252,0.006339842216864808,-0.09392559111966038,0.3015493776012949,-0.4142284526132531,13.48336025745371,-14.350082167542705,-5.557506773090054
382,0.09958981995083059,-0.0105305850119999,0.0073395488759712395,-0.10876940955537963,0.4287805910117516,-0.6280959300373747,15.920861158376963,-22.325840930651168,-12.710042404448194
406,0.14806238391813256,-0.02234806976729138,0.006860525737067844,-0.11601966624851325,0.5446698652111452,-0.8561809118800341,13.990448773712282,-30.916972897328897,-24.502289375634685
427,0.2003574983004986,-0.04130139171340289,0.005023514959418518,-0.1217388866228179,0.6188646406047875,-1.0660166295573807,6.026822513269869,-38.71326746789517,-39.072806281212955
450,0.25055524814645613,-0.06675713662182474,0.0024570181118910776,-0.13005458644785636,0.625073594867048,-1.2254687714407715,-7.967464966636044,-44.2088496770338,-51.963939167957555
472,0.2935801294648309,-0.09573625989739169,-0.00011296962026792286,-0.13922588416618986,0.5525146233812662,-1.311739523795568,-25.97336360368753,-46.175230613377764,-58.19458463335123
496,0.32672926435581917,-0.12387972531901525,-0.0020214234907080545,-0.1440403984919649,0.41178839375766846,-1.3187324968904919,-44.37731245022853,-44.06495825970491,-55.042167469526426
516,0.3502687008929394,-0.1471394165431509,-0.0023755169624929294,-0.14194841263525826,0.23149800863387318,-1.2592784675688087,-59.039350385366006,-38.29381254916371,-43.55451536221834
